City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Mount Gambier,AU,-37.8333,140.7667,38.57,97,12,5.68,few clouds
332,Rantoul,US,40.3084,-88.1559,97.03,46,0,12.66,clear sky
333,Tilichiki,RU,60.4667,166.1,50.52,90,100,1.59,overcast clouds
334,Kodinsk,RU,58.6881,99.1844,60.69,67,66,1.99,broken clouds
335,Barkly West,ZA,-28.5354,24.5215,52.65,51,99,13.04,overcast clouds
336,Ouegoa,NC,-20.35,164.4333,77.31,76,100,14.56,overcast clouds
337,Beringovskiy,RU,63.05,179.3167,48.85,81,100,2.8,overcast clouds
338,Kharagpur,IN,22.3333,87.3333,81.72,85,83,9.89,broken clouds
339,Tiksi,RU,71.6872,128.8694,45.64,63,83,2.89,broken clouds
340,Lapa,BR,-25.7697,-49.7158,59.49,73,100,3.6,overcast clouds
341,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.35,87,14,11.74,few clouds
